Project,Experiment,SPNID,Name,First Author,Year,Journal,Title,Authors,ReferencesAndLinks
7,EX3 Disc Col 1F,30,Slant,Makin  ,2015,Psychophysiology,Conditions for view invariance in the neural response to visual symmetry,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/psyp.12365
7,EX3 Disc Col 1F,31,Slant,Makin  ,2015,Psychophysiology,Conditions for view invariance in the neural response to visual symmetry,"Makin, A. D. J., Rampone, G. and Bertamini, M.",10.1111/psyp.12365
8,EX1 W Ref and Rep,32,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX1 W Ref and Rep,33,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX1 W Ref and Rep,34,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX1 W Ref and Rep,35,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX1 W Ref and Rep,36,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX1 W Ref and Rep,37,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX2 W Ref Rep and Spinning Glass,38,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX2 W Ref Rep and Spinning Glass,39,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX2 W Ref Rep and Spinning Glass,40,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX3 Naxes,41,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX3 Naxes,42,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX3 Naxes,43,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX3 Naxes,44,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX3 Naxes,45,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
8,EX4 AS1F,46,Holographic,Makin  ,2016,Cerebral Cortex,An Electrophysiological Index of Perceptual Goodness,"Makin, A. D. J., Wright, D., Rampone, G., Palumbo, L., Guest, M., Sheehan, R., Cleaver, H. and Bertamini, M.",10.1093/cercor/bhw255
